ISIN,Coupon,Issue Date,Maturity Date,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22
CA135087N597,2.000%,3/16/2022,6/1/2032,90.881,90.86,90.95,90.62,91.037,91.091,90.24,89.76,89.34,89.32,89.531
CA135087H235,2.000%,8/1/2017,6/1/2028,94.752,94.71,94.81,94.67,94.92,94.94,94.57,94.17,94.01,93.97,93.99
CA135087M276,1.500%,4/26/2021,6/1/2031,88.69,88.642,88.532,88.3,88.66,88.69,88.032,87.58,87.23,87.212,87.32
CA135087N837,2.750%,5/13/2022,9/1/2027,97.58,97.591,97.603,97.52,97.74,97.772,97.441,97.092,96.956,96.947,96.94
CA135087F825,1.000%,8/3/2016,6/1/2027,92.27,92.26,92.33,92.38,92.46,92.49,92.23,91.93,91.82,91.79,91.78
CA135087N266,1.500%,10/25/2021,12/1/2031,88.04,87.99,87.86,87.61,87.98,88.01,87.28,86.82,86.44,86.43,86.56
CA135087M847,1.250%,10/15/2021,3/1/2027,93.282,93.301,93.245,93.186,93.467,93.493,93.141,92.856,92.753,92.764,92.826
CA135087P576,3.500%,10/21/2022,3/1/2028,100.5,100.48,100.439,100.328,100.637,100.673,100.22,99.834,99.662,99.623,99.672
CA135087WL43,5.750%,2/2/1998,6/1/2029,112.417,112.362,112.303,112.104,112.459,112.474,111.89,111.35,111.11,111.05,111.128
CA135087P329,2.500%,8/8/2022,12/1/2032,94.529,94.504,94.337,93.96,94.413,94.46,93.53,93.01,92.58,92.56,92.787
CA135087Q723,3.250%,6/26/2023,12/1/2033,100.36,100.33,100.04,99.65,100.15,100.21,99.11,98.51,98.07,98.01,98.31
CA135087Q988,4.000%,10/13/2023,3/1/2029,103.406,103.38,103.279,103.132,103.542,103.552,102.974,102.483,102.279,102.242,102.413
CA135087Q491,3.250%,4/21/2023,9/1/2028,99.74,99.72,99.72,99.55,99.88,99.91,99.44,98.99,98.81,98.77,98.83
CA135087VW17,8.000%,5/1/1996,6/1/2027,114.41,114.391,114.494,114.32,114.51,114.52,114.21,113.84,113.67,113.62,113.6
CA135087P733,3.245%,12/2/2022,8/24/2027,99.24,99.25,99.28,99.17,99.39,99.41,99.1,98.75,98.61,98.6,98.57
CA135087XG49,5.750%,10/15/2001,6/1/2033,120.081,120.044,119.796,119.36,119.891,119.52,118.77,118.14,117.61,117.59,117.858
